model,dataset,scenario,seed,fold,accuracy,precision,recall,f1,distribution,degenerate,train_time_ms,inf_time_ms,auto_direction,auto_threshold
lstm,SKAB,original,42,0,0.8914539400665926,0.8549257759784076,0.8221933809214795,0.8382401587826662,"{'0': 3023, '1': 1482}",False,0.0,156.84771537780762,,
gru,SKAB,original,42,0,0.8874583795782464,0.8507462686567164,0.8137573004542504,0.8318407960199005,"{'0': 3031, '1': 1474}",False,0.0,160.19177436828613,,
cnn1d,SKAB,original,42,0,0.8799112097669256,0.8217503217503217,0.8286826735885788,0.8252019386106624,"{'0': 2951, '1': 1554}",False,0.0,203.41134071350098,,
automata,SKAB,original,42,0,0.578538102643857,0.43397626112759646,0.7592472420506164,0.5522775548737314,"{'0': 1805, '1': 2696}",False,64.7883415222168,3.0002593994140625,high,-0.3985185916839477
lstm,SKAB,gaussian_noise,42,0,0.49589345172031074,0.36736918604651164,0.6560674886437379,0.47099930118798045,"{'0': 1753, '1': 2752}",False,0.0,210.6609344482422,,
gru,SKAB,gaussian_noise,42,0,0.497669256381798,0.36795903438185806,0.6528228423101882,0.4706432748538012,"{'0': 1771, '1': 2734}",False,0.0,133.6674690246582,,
cnn1d,SKAB,gaussian_noise,42,0,0.3458379578246393,0.3431503792949576,0.9980532121998702,0.5107089490287232,"{'0': 23, '1': 4482}",False,0.0,172.40643501281738,,
automata,SKAB,gaussian_noise,42,0,0.6431904021328594,0.376425855513308,0.06424399740428294,0.10975609756097561,"{'0': 4238, '1': 263}",False,43.66588592529297,2.0301342010498047,high,-0.3985185916839477
lstm,SKAB,original,42,1,0.8863889507685453,0.7915717539863326,0.9061277705345502,0.8449848024316109,"{'0': 2733, '1': 1756}",False,0.0,146.6221809387207,,
gru,SKAB,original,42,1,0.9037647582980619,0.8327294685990339,0.8989569752281616,0.864576802507837,"{'0': 2833, '1': 1656}",False,0.0,163.2552146911621,,
cnn1d,SKAB,original,42,1,0.9296057028291379,0.9043824701195219,0.8878748370273793,0.8960526315789473,"{'0': 2983, '1': 1506}",False,0.0,192.26813316345215,,
automata,SKAB,original,42,1,0.5641025641025641,0.41583366653338666,0.6779661016949152,0.5154894671623296,"{'0': 1984, '1': 2501}",False,59.87191200256348,6.122112274169922,high,-0.29230406813461635
lstm,SKAB,gaussian_noise,42,1,0.5266206282022722,0.36930561698363557,0.5443285528031291,0.4400527009222661,"{'0': 2228, '1': 2261}",False,0.0,171.68784141540527,,
gru,SKAB,gaussian_noise,42,1,0.5045667186455781,0.37222222222222223,0.6551499348109517,0.4747283892300425,"{'0': 1789, '1': 2700}",False,0.0,171.1885929107666,,
cnn1d,SKAB,gaussian_noise,42,1,0.505012252171976,0.38409703504043125,0.7431551499348109,0.5064415815193247,"{'0': 1521, '1': 2968}",False,0.0,170.37177085876465,,
automata,SKAB,gaussian_noise,42,1,0.6394648829431439,0.33725490196078434,0.0560625814863103,0.09614309670206819,"{'0': 4230, '1': 255}",False,56.523799896240234,1.871347427368164,high,-0.29230406813461635
lstm,SKAB,original,42,2,0.841696269982238,0.9846827133479212,0.5628517823639775,0.716275368085953,"{'0': 3590, '1': 914}",False,0.0,141.05963706970215,,
gru,SKAB,original,42,2,0.8365896980461812,0.9897843359818388,0.5453408380237649,0.7032258064516129,"{'0': 3623, '1': 881}",False,0.0,157.27925300598145,,
cnn1d,SKAB,original,42,2,0.8394760213143873,0.9921348314606742,0.5522201375859912,0.7095218963439133,"{'0': 3614, '1': 890}",False,0.0,208.53686332702637,,
