dataset,scenario,model_a,model_b,n_total,n_both_correct,n_a_only_correct,n_b_only_correct,statistic,p_value,alpha,significant,note
SKAB,original,lstm,gru,4491,19,2,4,0.1667,0.683091,0.05,False,YAKLASIK McNemar: Bireysel tahmin vektoru mevcut olmadigi icin konfuzyon matrisi accuracy/precision/recall/distribution'dan rekonstrükte edilmistir. Fold bazli dogru/yanlis karsilastirmasi yapilmistir. Sonuclar gosterge niteligindedir; kesin yorum icin tahmin vektoru gereklidir.
SKAB,original,lstm,cnn1d,4491,15,5,5,0.0000,1.000000,0.05,False,YAKLASIK McNemar: Bireysel tahmin vektoru mevcut olmadigi icin konfuzyon matrisi accuracy/precision/recall/distribution'dan rekonstrükte edilmistir. Fold bazli dogru/yanlis karsilastirmasi yapilmistir. Sonuclar gosterge niteligindedir; kesin yorum icin tahmin vektoru gereklidir.
SKAB,original,lstm,automata,4491,0,25,0,23.0400,0.000002,0.05,True,YAKLASIK McNemar: Bireysel tahmin vektoru mevcut olmadigi icin konfuzyon matrisi accuracy/precision/recall/distribution'dan rekonstrükte edilmistir. Fold bazli dogru/yanlis karsilastirmasi yapilmistir. Sonuclar gosterge niteligindedir; kesin yorum icin tahmin vektoru gereklidir.
SKAB,original,gru,cnn1d,4491,15,7,3,0.9000,0.342782,0.05,False,YAKLASIK McNemar: Bireysel tahmin vektoru mevcut olmadigi icin konfuzyon matrisi accuracy/precision/recall/distribution'dan rekonstrükte edilmistir. Fold bazli dogru/yanlis karsilastirmasi yapilmistir. Sonuclar gosterge niteligindedir; kesin yorum icin tahmin vektoru gereklidir.
SKAB,original,gru,automata,4491,0,25,0,23.0400,0.000002,0.05,True,YAKLASIK McNemar: Bireysel tahmin vektoru mevcut olmadigi icin konfuzyon matrisi accuracy/precision/recall/distribution'dan rekonstrükte edilmistir. Fold bazli dogru/yanlis karsilastirmasi yapilmistir. Sonuclar gosterge niteligindedir; kesin yorum icin tahmin vektoru gereklidir.
SKAB,original,cnn1d,automata,4491,0,25,0,23.0400,0.000002,0.05,True,YAKLASIK McNemar: Bireysel tahmin vektoru mevcut olmadigi icin konfuzyon matrisi accuracy/precision/recall/distribution'dan rekonstrükte edilmistir. Fold bazli dogru/yanlis karsilastirmasi yapilmistir. Sonuclar gosterge niteligindedir; kesin yorum icin tahmin vektoru gereklidir.
BATADAL,original,lstm,gru,833,1,1,3,0.2500,0.617075,0.05,False,YAKLASIK McNemar: Bireysel tahmin vektoru mevcut olmadigi icin konfuzyon matrisi accuracy/precision/recall/distribution'dan rekonstrükte edilmistir. Fold bazli dogru/yanlis karsilastirmasi yapilmistir. Sonuclar gosterge niteligindedir; kesin yorum icin tahmin vektoru gereklidir.
BATADAL,original,lstm,cnn1d,833,0,0,5,3.2000,0.073638,0.05,False,YAKLASIK McNemar: Bireysel tahmin vektoru mevcut olmadigi icin konfuzyon matrisi accuracy/precision/recall/distribution'dan rekonstrükte edilmistir. Fold bazli dogru/yanlis karsilastirmasi yapilmistir. Sonuclar gosterge niteligindedir; kesin yorum icin tahmin vektoru gereklidir.
BATADAL,original,lstm,automata,833,0,0,5,3.2000,0.073638,0.05,False,YAKLASIK McNemar: Bireysel tahmin vektoru mevcut olmadigi icin konfuzyon matrisi accuracy/precision/recall/distribution'dan rekonstrükte edilmistir. Fold bazli dogru/yanlis karsilastirmasi yapilmistir. Sonuclar gosterge niteligindedir; kesin yorum icin tahmin vektoru gereklidir.
BATADAL,original,gru,cnn1d,833,0,1,4,0.8000,0.371093,0.05,False,YAKLASIK McNemar: Bireysel tahmin vektoru mevcut olmadigi icin konfuzyon matrisi accuracy/precision/recall/distribution'dan rekonstrükte edilmistir. Fold bazli dogru/yanlis karsilastirmasi yapilmistir. Sonuclar gosterge niteligindedir; kesin yorum icin tahmin vektoru gereklidir.
BATADAL,original,gru,automata,833,0,0,5,3.2000,0.073638,0.05,False,YAKLASIK McNemar: Bireysel tahmin vektoru mevcut olmadigi icin konfuzyon matrisi accuracy/precision/recall/distribution'dan rekonstrükte edilmistir. Fold bazli dogru/yanlis karsilastirmasi yapilmistir. Sonuclar gosterge niteligindedir; kesin yorum icin tahmin vektoru gereklidir.
BATADAL,original,cnn1d,automata,833,0,1,4,0.8000,0.371093,0.05,False,YAKLASIK McNemar: Bireysel tahmin vektoru mevcut olmadigi icin konfuzyon matrisi accuracy/precision/recall/distribution'dan rekonstrükte edilmistir. Fold bazli dogru/yanlis karsilastirmasi yapilmistir. Sonuclar gosterge niteligindedir; kesin yorum icin tahmin vektoru gereklidir.
